,time,name,not_done,done,tagged_ratio
297,1573695066,2019-11-13T20:31:06.614937,33,224,0.12840466926070038
298,1573695023,2019-11-13T20:30:23.943534,33,224,0.12840466926070038
299,1573695021,2019-11-13T20:30:21.609376,33,224,0.12840466926070038
300,1573695014,2019-11-13T20:30:14.428688,34,223,0.13229571984435798
301,1573695012,2019-11-13T20:30:12.374958,34,223,0.13229571984435798
302,1573695005,2019-11-13T20:30:05.885300,35,222,0.13618677042801555
303,1573695003,2019-11-13T20:30:03.687742,35,222,0.13618677042801555
304,1573694997,2019-11-13T20:29:57.447037,36,221,0.14007782101167315
305,1573694995,2019-11-13T20:29:55.234334,36,221,0.14007782101167315
306,1573694987,2019-11-13T20:29:47.740545,37,220,0.14396887159533073
307,1573694985,2019-11-13T20:29:45.462786,37,220,0.14396887159533073
308,1573694974,2019-11-13T20:29:34.224356,38,219,0.14785992217898833
309,1573694971,2019-11-13T20:29:31.886895,38,219,0.14785992217898833
310,1573694964,2019-11-13T20:29:24.247831,39,218,0.1517509727626459
311,1573694961,2019-11-13T20:29:21.825834,39,218,0.1517509727626459
312,1573694953,2019-11-13T20:29:13.606580,40,217,0.1556420233463035
313,1573694951,2019-11-13T20:29:11.568296,40,217,0.1556420233463035
314,1573694944,2019-11-13T20:29:04.070438,41,216,0.15953307392996108
315,1573694942,2019-11-13T20:29:02.152854,41,216,0.15953307392996108
316,1573694935,2019-11-13T20:28:55.144308,42,215,0.16342412451361868
317,1573694933,2019-11-13T20:28:53.267392,42,215,0.16342412451361868
318,1573694923,2019-11-13T20:28:43.176836,43,214,0.16731517509727625
319,1573694921,2019-11-13T20:28:41.365419,43,214,0.16731517509727625
320,1573694914,2019-11-13T20:28:34.256043,44,213,0.17120622568093385
321,1573694911,2019-11-13T20:28:31.869303,44,213,0.17120622568093385
322,1573694864,2019-11-13T20:27:44.175430,45,212,0.17509727626459143
323,1573694861,2019-11-13T20:27:41.764547,45,212,0.17509727626459143
324,1573694856,2019-11-13T20:27:36.278519,46,211,0.17898832684824903
325,1573694854,2019-11-13T20:27:34.321904,46,211,0.17898832684824903
326,1573694840,2019-11-13T20:27:20.761245,47,210,0.1828793774319066
327,1573694838,2019-11-13T20:27:18.413310,47,210,0.1828793774319066
328,1573694829,2019-11-13T20:27:09.445132,48,209,0.1867704280155642
329,1573694827,2019-11-13T20:27:07.348857,48,209,0.1867704280155642
330,1573694814,2019-11-13T20:26:54.656277,48,209,0.1867704280155642
331,1573694812,2019-11-13T20:26:52.741784,48,209,0.1867704280155642
332,1573694757,2019-11-13T20:25:57.246079,49,208,0.19066147859922178
333,1573694754,2019-11-13T20:25:54.769476,49,208,0.19066147859922178
334,1573694743,2019-11-13T20:25:43.098948,50,207,0.19455252918287938
335,1573694741,2019-11-13T20:25:41.181288,50,207,0.19455252918287938
336,1573694734,2019-11-13T20:25:34.098960,51,206,0.19844357976653695
337,1573694732,2019-11-13T20:25:32.055126,51,206,0.19844357976653695
338,1573694692,2019-11-13T20:24:52.591113,52,205,0.20233463035019456
339,1573694690,2019-11-13T20:24:50.125425,52,205,0.20233463035019456
340,1573694676,2019-11-13T20:24:36.829181,53,204,0.20622568093385213
341,1573694674,2019-11-13T20:24:34.673329,53,204,0.20622568093385213
342,1573694598,2019-11-13T20:23:18.377892,54,203,0.21011673151750973
343,1573694596,2019-11-13T20:23:16.124750,54,203,0.21011673151750973
344,1573694586,2019-11-13T20:23:06.577369,55,202,0.2140077821011673
345,1573694584,2019-11-13T20:23:04.529827,55,202,0.2140077821011673
346,1573694574,2019-11-13T20:22:54.495885,56,201,0.2178988326848249
347,1573694571,2019-11-13T20:22:51.898400,56,201,0.2178988326848249
348,1573694540,2019-11-13T20:22:20.279313,57,200,0.22178988326848248
349,1573694537,2019-11-13T20:22:17.253544,57,200,0.22178988326848248
350,1573694484,2019-11-13T20:21:24.303216,57,200,0.22178988326848248
351,1573694482,2019-11-13T20:21:22.238792,57,200,0.22178988326848248
352,1573694474,2019-11-13T20:21:14.776302,58,199,0.22568093385214008
353,1573694472,2019-11-13T20:21:12.595790,58,199,0.22568093385214008
354,1573694464,2019-11-13T20:21:04.982261,59,198,0.22957198443579765
355,1573694462,2019-11-13T20:21:02.477729,59,198,0.22957198443579765
356,1573694448,2019-11-13T20:20:48.746338,60,197,0.23346303501945526
357,1573694446,2019-11-13T20:20:46.449253,60,197,0.23346303501945526
358,1573694413,2019-11-13T20:20:13.837584,61,196,0.23735408560311283
359,1573694411,2019-11-13T20:20:11.462062,61,196,0.23735408560311283
360,1573694370,2019-11-13T20:19:30.381429,62,195,0.24124513618677043
361,1573694368,2019-11-13T20:19:28.009880,62,195,0.24124513618677043
362,1573694355,2019-11-13T20:19:15.341916,63,194,0.245136186770428
363,1573694353,2019-11-13T20:19:13.303407,63,194,0.245136186770428
364,1573694345,2019-11-13T20:19:05.307465,64,193,0.2490272373540856
365,1573694343,2019-11-13T20:19:03.137277,64,193,0.2490272373540856
366,1573694328,2019-11-13T20:18:48.458635,65,192,0.2529182879377432
367,1573694324,2019-11-13T20:18:44.046298,65,192,0.2529182879377432
368,1573694228,2019-11-13T20:17:08.003666,66,191,0.25680933852140075
369,1573694226,2019-11-13T20:17:06.062167,66,191,0.25680933852140075
370,1573694217,2019-11-13T20:16:57.391570,67,190,0.2607003891050584
371,1573694215,2019-11-13T20:16:55.281420,67,190,0.2607003891050584
372,1573694207,2019-11-13T20:16:47.172557,68,189,0.26459143968871596
373,1573694204,2019-11-13T20:16:44.719710,68,189,0.26459143968871596
374,1573694163,2019-11-13T20:16:03.633817,68,189,0.26459143968871596
375,1573694161,2019-11-13T20:16:01.393736,68,189,0.26459143968871596
376,1573694145,2019-11-13T20:15:45.993595,69,188,0.26848249027237353
377,1573694143,2019-11-13T20:15:43.551336,69,188,0.26848249027237353
378,1573694100,2019-11-13T20:15:00.171378,69,188,0.26848249027237353
379,1573694097,2019-11-13T20:14:57.706010,69,188,0.26848249027237353
380,1573694083,2019-11-13T20:14:43.218433,70,187,0.2723735408560311
381,1573694081,2019-11-13T20:14:41.486082,70,187,0.2723735408560311
382,1573694033,2019-11-13T20:13:53.971649,71,186,0.27626459143968873
383,1573694032,2019-11-13T20:13:52.102157,71,186,0.27626459143968873
384,1573694024,2019-11-13T20:13:44.333840,72,185,0.2801556420233463
385,1573694021,2019-11-13T20:13:41.421084,72,185,0.2801556420233463
386,1573694009,2019-11-13T20:13:29.649584,73,184,0.2840466926070039
387,1573681876,2019-11-13T16:51:16.509717,73,184,0.2840466926070039
388,1573681873,2019-11-13T16:51:13.518998,73,184,0.2840466926070039
389,1573681828,2019-11-13T16:50:28.882604,74,183,0.28793774319066145
390,1573681826,2019-11-13T16:50:26.201543,74,183,0.28793774319066145
