file,size(BYTE),size(KB),size(MB),resolution(DPI)
Florence/20180917a_jpgs/jpgs/P26059965.jpg,7595724,7417.699219,7.243846893,96
Florence/20180917a_jpgs/jpgs/P26060155.jpg,5809636,5673.472656,5.540500641,96
Florence/20180917a_jpgs/jpgs/P26060200.jpg,8440718,8242.888672,8.049695969,96
Florence/20180917a_jpgs/jpgs/P26060363.jpg,6140229,5996.317383,5.855778694,96
Florence/20180917a_jpgs/jpgs/S26047317.jpg,6672057,6515.680664,6.362969398,96
Florence/20180917a_jpgs/jpgs/S26047344.jpg,7262591,7092.374023,6.926146507,96
Florence/20180917a_jpgs/jpgs/S26047359.jpg,7547990,7371.083984,7.198324203,96
Florence/20180918a_jpgs/jpgs/C26158431.jpg,7910662,7725.255859,7.544195175,300
Florence/20180918a_jpgs/jpgs/C26158446.jpg,10607080,10358.47656,10.11569977,300
Florence/20180918a_jpgs/jpgs/C26158527.jpg,8317336,8122.398438,7.932029724,300
Florence/20180918a_jpgs/jpgs/C26158600.jpg,5800660,5664.707031,5.53194046,300
Florence/20180918a_jpgs/jpgs/C26159229.jpg,6131466,5987.759766,5.847421646,300
Florence/20180918a_jpgs/jpgs/C26159304.jpg,10171620,9933.222656,9.70041275,300
Florence/20180918a_jpgs/jpgs/C26159574.jpg,6174304,6029.59375,5.888275146,300
Florence/20180918a_jpgs/jpgs/P26157611.jpg,8278084,8084.066406,7.8945961,96
Florence/20180918a_jpgs/jpgs/P26158595.jpg,7131489,6964.344727,6.801117897,96
Florence/20180918a_jpgs/jpgs/P26158996.jpg,6611044,6456.097656,6.304782867,96
Florence/20180918a_jpgs/jpgs/P26159150.jpg,6361499,6212.401367,6.06679821,96
Florence/20180918a_jpgs/jpgs/P26159839.jpg,10728954,10477.49414,10.23192787,96
Florence/20180918a_jpgs/jpgs/P26159862.jpg,7939563,7753.479492,7.571757317,96
Florence/20180918a_jpgs/jpgs/P26159902.jpg,7179911,7011.631836,6.847296715,96
Florence/20180918a_jpgs/jpgs/P26160501.jpg,8045663,7857.092773,7.672942162,96
Florence/20180918a_jpgs/jpgs/P26161537.jpg,5648847,5516.452148,5.387160301,96
